Title,Location,Latitude,Longitude
D.O.A,The Embarcadero/ Ferry Building,37.794996,-122.394324
Doctor Doolittle,Webster Street,37.783508,-122.430989
Doctor Doolittle,2107 Union Street,37.7970743,-122.4340095
Doctor Doolittle,2100 Green Street,37.7965895,-122.4339807
Doctor Doolittle,Gabbiano's Restaurant (Ferry Building),37.795219,-122.420782
Doctor Doolittle,Larkin & Hyde Streets,37.789829,-122.418843
Doctor Doolittle,Telegraph Hill Blvd (Telegraph Hill),37.801862,-122.405472
Doctor Doolittle,Coit Tower,37.795219,-122.420782
Dopamine,"Fort Point (Presidio, Golden Gate National Recreation Area)",37.761953,-122.43065
Dopamine,"South Park (Between 2nd and 3rd Streets, Brannan and Bryant Streets)",37.76881,-122.389294
Down Periscope,,37.795219,-122.420782
Dr. Doolittle 2,"West Chrissy Field (Presidio, Golden Gate National Recreation Area)",37.795219,-122.420782
Dr. Doolittle 2,"Sacramento St., Between Pierce & Broderick Streets ",37.788781,-122.442297
Dr. Doolittle 2,Hyde Street & Lombard Street,37.801995,-122.419614
Dr. Doolittle 2,"Building 924, Presido (Golden Gate National Recreation Area)",37.795219,-122.420782
Dr. Doolittle 2,"Broadway, Between Franklin & Laguna Streets",37.794895,-122.429989
Dream for an Insomniac,Baker Beach,37.790555,-122.48091
Dream for an Insomniac,Elbo Room (647 Valencia Street),37.795219,-122.420782
Dream with the Fishes,Bay Bridge,37.814343,-122.358463
Dream with the Fishes,Pier 39,37.794996,-122.394324
Dying Young,,37.795219,-122.420782
Edtv,Palace of Fine Arts (3301 Lyon Street),37.795219,-122.420782
Edtv,20th & Connecticut Streets (Potrero Hill),37.759966,-122.397249
Edtv,19 Green Street (North Beach),37.7228039,-122.3990918
Edtv,1138 Filbert Street,37.8005661,-122.4182791
Edtv,"Castro Theatre (429 Castro Street, The Castro)",37.754494,-122.434394
Edtv,North Beach Video (1398 Grant Avenue at Green),37.795219,-122.420782
Edtv,"Center for the Arts, Yerba Buena Gardens (701 Mission Street)",37.781942,-122.394407
Edtv,Mario's Bohemian Cigar Store (Washington Square),37.752592,-122.425865
Edtv,Moose's Restaurant (1652 Stockton),37.795219,-122.420782
Escape From Alcatraz,Alcatraz Island,37.795219,-122.420782
Experiment in Terror,Roaring Twenties Nightclub (555 Broadway at Columbus),37.795219,-122.420782
Experiment in Terror,George Washington High School (600 32nd Avenue ),37.73062,-122.38227
Experiment in Terror,"Wells Fargo Bank (1 California Street, Financial District)",37.795219,-122.420782
Experiment in Terror,The Sea Captain's Chest (Fisherman's Wharf),37.795219,-122.420782
Experiment in Terror,"Sheraton Palace Hotel (2 Montgomery Street, Financial District)",37.795219,-122.420782
Experiment in Terror,Candlestick Park,37.795219,-122.420782
Experiment in Terror,2632 Larkin Street at Lombard,37.801758,-122.421258
Experiment in Terror,100 St. Germain Avenue,37.795219,-122.420782
Experiment in Terror,1 Monthgomery Street at Post,37.795219,-122.420782
Faces of Death,,37.795219,-122.420782
Family Plot,Nob Hill,37.795219,-122.420782
Family Plot,Grace Cathedral Episcopal Church (1100 California Street),37.775607,-122.415485
Family Plot,"Fairmont Hotel (950 Mason Street, Nob Hill)",37.738952,-122.425815
Family Plot,2230 Sacramento Street,37.790548,-122.4305557
Fandom,,37.795219,-122.420782
Fathers' Day,,37.795219,-122.420782
Fat Man and Little Boy,"Postcard Row (Alamo Square, Hayes Valley)",37.795219,-122.420782
Fearless,400 Montgomery Street,37.7931486,-122.4025672
Fearless,"San Francisco General Hospital Medical Center (1001 Potrero Avenue, Potrero Hill)",37.795219,-122.420782
Fearless,Bank of America Building (555 California Street),37.795219,-122.420782
Fearless,90 Gold Street,37.7968047,-122.4032004
Fearless,5th and Beale Streets,37.782989,-122.463351
Fearless,Kohl Building (400 Montgomery Street),37.795219,-122.420782
Fearless,"St. Peter & Paul's Church (666 Filbert Street, Washington Square)",37.795219,-122.420782
Fearless,Varennes Alley between Filbert and Union,37.800737,-122.406801
Fearless,Folsom Street & Embarcadero,37.772812,-122.412824
Final Analysis,"Westin St. Francis Hotel (335 Powell Street, Union Square)",37.795219,-122.420782
Final Analysis,City Hall,37.795219,-122.420782
Final Analysis,"Presidio, Golden Gate National Recreation Area",37.788257,-122.460315
Final Analysis,"Public Health Service Hospital (Presidio, Golden Gate National Recreation Area)",37.795219,-122.420782
Final Analysis,Bix Restaurant (56 Gold Street),37.795219,-122.420782
Flower Drum Song,Chinatown,37.794993,-122.40767
Flower Drum Song,Golden Gate Bridge,37.810977,-122.477578
Flubber,Treasure Island,37.815742,-122.371546
Forrest Gump,Palace of Fine Arts (3301 Lyon Street),37.795219,-122.420782
Forty Days and Forty Nights,"The Walden House, Buena Vista Park",37.795219,-122.420782
Forty Days and Forty Nights,Café Trieste (609 Vallejo),37.795219,-122.420782
Foul Play,War Memorial Opera House (401 Van Ness Avenue),37.795219,-122.420782
Foul Play,Sutter & Buchannan Streets,37.786504,-122.429979
Foul Play,Sutter & Baker Streets,37.784827,-122.443183
Foul Play,Sokoji-Soto Zen Buddhist Temple (1691 Laguna Street),37.795219,-122.420782
Foul Play,Sacramento & Hyde Streets (Nob Hill),37.791923,-122.417582
Foul Play,"Postcard Row (Alamo Square, Hayes Valley)",37.795219,-122.420782
Foul Play,Pawtrero Hill Bathhouse & Feed Co. (199 Mississippi Street),37.760661,-122.407066
Foul Play,Octavia & Hayes Streets (Hayes Valley),37.776674,-122.424623
Foul Play,"Hayes Valley Care (601 Laguna Street, Hayes Valley)",37.775417,-122.434483
Foul Play,Laguna & Sacramento Streets (Pacific Heights),37.784953,-122.427989
Foul Play,Montgomery & Pine Streets (Financial District),37.791899,-122.402571
Foul Play,Flood Building (870 Market Street),37.729882,-122.448855
Foul Play,"Fiesta Laundromat (898 S. Van Ness Ave., Mission)",37.795219,-122.420782
Foul Play,City Hall,37.795219,-122.420782
Foul Play,California & Larkin Streets (Nob Hill),37.790788,-122.419036
